Cycle,Voltage,Current,Temperature,Capacity
0,4.19979,0.09706,23.76583,2.64991
0,4.19979,0.08939,23.87099,2.65146
0,4.19979,0.08173,23.87099,2.65288
0,4.19979,0.07662,23.87099,2.65418
0,4.19979,0.06896,23.97615,2.65537
0,4.19979,0.06385,23.76583,2.65647
0,4.19979,0.05874,23.76583,2.65748
0,4.19979,0.05364,23.87099,2.65843
0,4.19979,0.05108,23.76583,2.65932
0,4.19979,0.04853,23.87099,2.65945
1,4.19979,0.09961,23.76583,2.5571
1,4.19979,0.09195,23.76583,2.5587
1,4.19979,0.08429,23.87099,2.56017
1,4.19979,0.07918,23.87099,2.56152
1,4.19979,0.07152,23.76583,2.56275
1,4.19979,0.06641,23.76583,2.56388
1,4.19979,0.0613,23.87099,2.56494
1,4.19979,0.05619,24.0813,2.56592
1,4.19979,0.05364,23.66067,2.56683
1,4.19979,0.04853,23.66067,2.56752
2,4.19979,0.0945,23.76583,2.53312
2,4.19979,0.08684,23.87099,2.53465
2,4.19979,0.08173,23.87099,2.53606
2,4.19979,0.07407,23.76583,2.53735
2,4.19979,0.06896,23.76583,2.53855
2,4.19979,0.06385,23.87099,2.53965
2,4.19979,0.05874,23.87099,2.54067
2,4.19979,0.05364,23.87099,2.54161
2,4.19979,0.05108,23.76583,2.54248
2,4.19979,0.04853,23.87099,2.54266
3,4.19979,0.09706,23.87099,2.5439
3,4.19979,0.08939,23.97615,2.54546
3,4.19979,0.08173,23.87099,2.54689
3,4.19979,0.07407,23.87099,2.5482
3,4.19979,0.06896,23.97615,2.54941
3,4.19979,0.06385,23.87099,2.55051
3,4.19979,0.05874,23.87099,2.55155
3,4.19979,0.05619,23.97615,2.5525
3,4.19979,0.05108,23.87099,2.55339
3,4.19979,0.04853,23.97615,2.55373
4,4.19979,0.0945,23.97615,2.53482
4,4.19979,0.08684,23.76583,2.53634
4,4.19979,0.07918,23.76583,2.53774
4,4.19979,0.07407,23.87099,2.53901
4,4.19979,0.06641,23.97615,2.54019
4,4.19979,0.06385,23.87099,2.54127
4,4.19979,0.05874,23.76583,2.54228
4,4.19979,0.05364,23.87099,2.54321
4,4.19979,0.05108,24.0813,2.54408
4,4.19979,0.04853,24.0813,2.54409
5,4.19979,0.09706,24.0813,2.54221
5,4.19979,0.08939,23.87099,2.54376
5,4.19979,0.08173,23.87099,2.54518
5,4.19979,0.07407,23.97615,2.54649
5,4.19979,0.06896,23.97615,2.54769
5,4.19979,0.06385,23.87099,2.54879
5,4.19979,0.05874,23.76583,2.54982
5,4.19979,0.05619,23.87099,2.55078
5,4.19979,0.05108,24.0813,2.55167
5,4.19979,0.04853,23.97615,2.55201
6,4.19979,0.09706,23.87099,2.53995
6,4.19979,0.08939,23.76583,2.5415
6,4.19979,0.08173,23.87099,2.54292
6,4.19979,0.07407,24.0813,2.54423
6,4.19979,0.06896,23.87099,2.54542
6,4.19979,0.06385,23.76583,2.54652
6,4.19979,0.05874,23.76583,2.54754
6,4.19979,0.05619,24.0813,2.54849
6,4.19979,0.05108,23.97615,2.54938
6,4.19979,0.04853,23.87099,2.54964
7,4.19979,0.10472,23.76583,2.50402
7,4.19979,0.09706,23.76583,2.5057
7,4.19979,0.08939,23.76583,2.50724
7,4.19979,0.08173,23.87099,2.50865
7,4.19979,0.07407,23.76583,2.50995
7,4.19979,0.06641,23.76583,2.51113
7,4.19979,0.0613,23.76583,2.5122
7,4.19979,0.05619,23.76583,2.51319
7,4.19979,0.05364,23.87099,2.51413
7,4.19979,0.04853,23.66067,2.51489
8,4.19979,0.0945,22.60908,2.61266
8,4.19979,0.08684,22.71424,2.61419
8,4.19979,0.08173,22.71424,2.61559
8,4.19979,0.07662,22.71424,2.61689
8,4.19979,0.06896,22.71424,2.6181
8,4.19979,0.06385,22.8194,2.61919
8,4.19979,0.05874,22.71424,2.62022
8,4.19979,0.05619,22.71424,2.62117
8,4.19979,0.05108,22.8194,2.62207
8,4.19979,0.04853,22.8194,2.62256
