Voltage,Current,Temperature,Capacity
3.14413,-1.49925,24.29162,-2.38183
3.11092,-1.4967,24.6071,-2.40681
3.07738,-1.4967,24.71226,-2.43178
3.04198,-1.4967,24.71226,-2.45674
3.00169,-1.49925,24.29162,-2.48171
2.95332,-1.49925,24.6071,-2.50668
2.89331,-1.4967,25.02773,-2.53166
2.81493,-1.4967,24.6071,-2.55662
2.79993,-1.4967,24.6071,-2.56049
3.07519,-2.31401,24.6071,-2.58933
3.07485,-2.31656,24.6071,-2.5894
3.07434,-2.31656,24.6071,-2.58946
3.07401,-2.31656,24.6071,-2.58952
3.05985,-3.57573,24.6071,-2.58962
3.04906,-3.59105,24.6071,-2.58972
3.04484,-3.60382,24.6071,-2.58982
3.04282,-3.60893,24.6071,-2.58992
3.0413,-3.61148,24.6071,-2.59002
3.04046,-3.61404,24.6071,-2.59012
2.79976,-9.05936,25.97416,-2.58806
2.79976,-9.01849,25.97416,-2.58832
2.79976,-8.97507,25.97416,-2.58856
2.79976,-8.93676,25.97416,-2.58881
2.79976,-8.89334,25.97416,-2.58906
2.79976,-8.86014,25.97416,-2.58931
2.79976,-8.82182,25.97416,-2.58956
2.79976,-8.78607,25.97416,-2.5898
2.79976,-8.75542,25.97416,-2.59004
2.79976,-8.7452,25.97416,-2.59028
3.12761,-1.66016,24.50194,-2.55791
3.12727,-1.66016,24.50194,-2.55796
3.12693,-1.66016,24.50194,-2.558
3.1357,-1.22852,24.50194,-2.55805
3.14143,-0.97311,24.50194,-2.55808
3.14328,-0.89904,24.50194,-2.5581
3.14396,-0.87861,24.50194,-2.55813
3.14413,-0.87094,24.50194,-2.55815
3.14429,-0.87094,24.50194,-2.55818
3.05412,-4.2168,24.81741,-2.55716
3.05058,-4.36494,24.81741,-2.55728
3.04822,-4.44156,24.81741,-2.5574
3.04687,-4.4671,24.81741,-2.55753
3.04602,-4.47476,24.81741,-2.55765
3.04518,-4.47987,24.81741,-2.55778
3.04451,-4.47987,24.81741,-2.5579
3.04383,-4.48243,24.81741,-2.55802
3.04299,-4.48243,24.81741,-2.55815
3.04232,-4.48243,24.81741,-2.55827
2.99175,-4.65355,24.81741,-2.55683
2.99445,-4.62546,24.81741,-2.55695
2.99596,-4.61524,24.81741,-2.55708
2.99697,-4.61269,24.81741,-2.55721
2.99765,-4.61013,24.81741,-2.55734
2.99815,-4.60758,24.81741,-2.55747
2.99866,-4.60758,24.81741,-2.5576
2.999,-4.60758,24.81741,-2.55772
2.96309,-7.82062,24.81741,-2.55785
2.93596,-7.90746,24.81741,-2.55807
2.93478,-7.91257,24.81741,-2.55829
3.02411,-4.80424,24.92257,-2.557
3.0231,-4.80424,24.92257,-2.55713
3.02209,-4.8068,24.92257,-2.55726
3.02108,-4.80935,24.92257,-2.5574
3.02024,-4.80935,24.92257,-2.55753
3.02243,-4.65611,24.92257,-2.55766
3.02428,-4.54117,24.92257,-2.55779
3.02428,-4.50286,24.92257,-2.55791
3.02394,-4.4952,24.92257,-2.55804
3.02327,-4.4952,24.92257,-2.55816
3.02293,-4.80424,25.13289,-2.55704
3.02192,-4.8068,25.13289,-2.55718
3.02108,-4.80935,25.13289,-2.55731
3.02007,-4.80935,25.13289,-2.55745
3.01906,-4.8119,25.13289,-2.55758
3.01821,-4.8119,25.13289,-2.55771
3.0204,-4.65611,25.13289,-2.55785
3.02226,-4.53862,25.13289,-2.55797
3.02226,-4.50797,25.13289,-2.55809
3.02175,-4.50031,25.13289,-2.55822
2.8001,-10.29553,25.02773,-2.55571
2.79976,-10.2138,25.02773,-2.55599
2.79976,-10.13207,25.02773,-2.55627
2.79976,-10.07077,25.02773,-2.55657
2.79976,-10.00692,25.02773,-2.55684
2.79976,-9.94307,25.02773,-2.55711
2.79993,-9.88433,25.02773,-2.55739
2.79976,-9.8358,25.02773,-2.55767
2.79976,-9.78216,25.02773,-2.55793
2.79976,-9.76173,25.02773,-2.55821
